Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
Aloe vera juice drink,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,4
Ambrosia,16.16,0.0,2.3,0.9,0.056,0.047,0.748,0.96,0.24,15.0,16.0,200.0,1.0,0.12,7.0,0.0,0.138,40.1,0.12,0.3,5
Anchovy,0.0,85.0,0.0,28.89,3.77,2.562,2.203,9.71,4.63,69.0,252.0,544.0,3668.0,2.44,12.0,0.88,0.203,0.0,3.33,12.1,4
Animal fat or drippings,0.0,93.0,0.0,2.23,41.249,10.052,35.58,92.18,0.23,1.0,13.0,21.0,604.0,0.34,0.0,0.19,0.029,0.0,0.64,0.6,4
Anisette toast,74.2,8.0,2.5,10.1,4.244,2.073,2.525,9.7,0.6,14.0,55.0,305.0,227.0,0.54,16.0,0.0,0.082,5.3,2.44,0.9,10
Antipasto with ham,3.88,39.0,1.1,11.62,3.746,1.078,4.634,10.69,0.86,22.0,181.0,244.0,869.0,1.47,288.0,0.5,0.169,1.5,1.03,8.4,13
Apple,33.0025,2.5,3.85,0.7125,0.31125,0.303,0.633,1.42,0.4574999999999999,8.75,24.75,201.25,38.5,0.1075,8.75,0.0225,0.064,4.0,0.3075,2.475,5
Apple cider,11.3,0.0,0.2,0.1,0.006,0.039,0.022,0.13,0.12,5.0,7.0,101.0,4.0,0.02,0.0,0.0,0.018,0.9,0.01,0.0,5
Apple juice,11.3975,0.0,0.25,0.07,0.00525,0.03825,0.02175,0.125,0.255,4.75,7.25,117.0,5.0,0.03,0.25,0.0,0.02375,29.925,0.155,0.0,5
Apple juice beverage,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,5.0,9.0,51.0,13.0,0.04,0.0,0.0,0.018,24.0,0.01,0.0,0
Apple pie filling,26.1,0.0,1.0,0.1,0.0,0.0,0.0,0.1,0.29,2.0,7.0,45.0,47.0,0.04,2.0,0.0,0.016,1.7,0.04,0.5,1
Apple salad with dressing,12.15,5.0,2.1,1.48,2.719,8.835,1.906,13.92,0.37,16.0,37.0,144.0,86.0,0.27,6.0,0.02,0.081,3.5,0.61,26.3,10
Apple yogurt dessert,19.5,6.0,0.5,0.8,0.438,0.044,1.034,1.6,0.0,15.0,31.0,70.0,20.0,0.28,3.0,0.5,0.02,35.1,0.02,0.2,0
Apple-banana juice,12.3,0.0,0.2,0.2,0.004,0.034,0.018,0.1,0.2,6.0,8.0,123.0,4.0,0.04,0.0,0.0,0.06,27.9,0.02,0.0,5
Apple-cherry juice,11.2,0.0,0.3,0.2,0.0,0.03,0.02,0.1,0.35,3.0,12.0,110.0,4.0,0.03,1.0,0.0,0.03,32.1,0.02,0.2,5
Apple-fruit juice blend,18.1,0.0,0.1,0.2,0.006,0.031,0.018,0.1,0.95,7.0,15.0,148.0,8.0,0.05,1.0,0.0,0.035,67.5,0.05,1.3,0
Apple-grape juice,11.34,0.0,0.1,0.1,0.009,0.059,0.04,0.2,0.39,6.0,5.0,90.0,0.0,0.04,0.0,0.0,0.034,31.5,0.0,0.0,0
Apple-peach juice,10.5,0.0,0.1,0.2,0.002,0.031,0.018,0.1,0.56,3.0,4.0,97.0,0.0,0.03,3.0,0.0,0.022,58.5,0.15,0.5,0
Apple-prune juice,18.1,0.0,0.1,0.2,0.006,0.031,0.018,0.1,0.95,7.0,15.0,148.0,8.0,0.05,1.0,0.0,0.035,67.5,0.05,1.3,0
Apple-raspberry,15.86,0.0,2.033333333333333,0.2,0.012,0.066,0.0296666666666666,0.2,0.2633333333333333,4.0,8.0,73.33333333333333,0.0,0.0333333333333333,1.6666666666666667,0.0,0.0363333333333333,24.2,0.1833333333333333,3.033333333333333,0
Apple-sweet potato juice,11.4,0.0,0.5,0.3,0.01,0.05,0.03,0.1,0.3,7.0,14.0,137.0,5.0,0.08,154.0,0.0,0.07,34.1,0.34,0.7,2
Apples,11.56,0.0,1.9,0.19,0.004,0.03,0.02,0.36,0.08,4.0,8.0,86.0,2.0,0.02,1.0,0.0,0.041,64.5,0.22,0.6,0
Apples and chicken,10.88,5.0,1.8,2.16,0.411,0.35,0.347,1.38,0.38,6.0,32.0,95.0,12.0,0.36,2.0,0.02,0.083,0.2,0.07,0.6,5
Apples and pears,10.876666666666669,0.0,2.2,0.1999999999999999,0.0176666666666666,0.0313333333333333,0.0123333333333333,0.1233333333333333,0.2333333333333333,6.0,9.333333333333334,98.0,0.6666666666666666,0.0566666666666666,0.6666666666666666,0.0,0.02,30.633333333333336,0.47,1.8,0
Apples and sweet potatoes,15.3,0.0,1.4,0.3,0.008,0.079,0.041,0.22,0.2,6.0,17.0,149.0,3.0,0.1,103.0,0.0,0.05,6.4,0.16,0.8,14
Apples with ham,10.9,8.0,1.8,2.6,0.36,0.111,0.25,0.9,0.3,7.0,34.0,120.0,9.0,0.4,0.0,0.02,0.07,0.1,0.07,0.5,5
Applesauce,12.983333333333334,0.0,1.4333333333333331,0.1316666666666666,0.0046666666666666,0.0343333333333333,0.0193333333333333,0.1233333333333333,0.1883333333333333,3.0,6.0,74.33333333333333,1.1666666666666667,0.03,0.3333333333333333,0.0,0.0286666666666666,19.75,0.3866666666666666,0.4833333333333333,5
Applesauce and apricots,12.02,0.0,1.8,0.2,0.0336666666666666,0.0479999999999999,0.026,0.2,0.2566666666666666,4.0,9.666666666666666,114.33333333333331,0.0,0.0366666666666666,9.666666666666666,0.0,0.03,18.4,0.1099999999999999,0.7666666666666666,5
Applesauce with bananas,16.16,0.0,1.6000000000000003,0.3699999999999999,0.01,0.05,0.04,0.1,0.24,9.0,12.0,131.0,3.0,0.05,0.0,0.0,0.1,17.3,0.02,0.3,5
Applesauce with cherries,14.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.3,4.0,8.0,132.0,1.0,0.03,2.0,0.0,0.038,42.79999999999999,0.09,1.6,0
Apricot,29.203333333333333,0.0,3.6,1.8133333333333332,0.1023333333333333,0.06,0.018,0.3566666666666667,1.1166666666666667,16.0,35.333333333333336,532.6666666666666,4.666666666666667,0.23,122.0,0.0,0.0823333333333333,4.7,1.9233333333333336,2.8000000000000003,5
Apricot nectar,13.63,0.0,0.1,0.17,0.186,0.087,0.033,0.45,0.1,5.0,5.0,67.0,8.0,0.03,16.0,0.0,0.037,29.7,0.41,1.2,0
Apricots,16.8,0.0,1.5,0.3,0.0,0.0,0.0,0.0,0.2833333333333334,4.0,10.0,123.0,0.0,0.0433333333333333,36.0,0.0,0.0289999999999999,19.766666666666666,0.3499999999999999,0.4000000000000001,5
