nutrient_total_fat,nutrient_total_carb,nutrient_protein,nutrient_sat_fat,nutrient_cholesterol,nutrient_sodium,nutrient_fiber,nutrient_calcium,Calories,Score,nutrient_vitamin_a,Category,cluster
0.2,12.02,0.2,0.026,0.0,0.0,1.8,6.0,50.1,4.450256493506494,9.666666666666666,Applesauce and apricots,2
0.1,16.16,0.3699999999999999,0.04,0.0,3.0,1.6000000000000003,5.0,65.0,4.400416666666667,0.0,Applesauce with bananas,2
0.0,14.1,0.0,0.0,0.0,1.0,1.1,1.0,57.5,3.57,2.0,Applesauce with cherries,2
0.3566666666666667,29.203333333333333,1.8133333333333332,0.018,0.0,4.666666666666667,3.6,25.0,124.82,4.912,122.0,Apricot,4
0.45,13.63,0.17,0.033,0.0,8.0,0.1,11.0,62.4,4.67295238095238,16.0,Apricot nectar,2
0.0,16.8,0.3,0.0,0.0,0.0,1.5,8.333333333333334,70.5,4.851999999999999,36.0,Apricots,2
13.94,30.45,5.68,9.074,48.0,401.0,2.4,83.0,293.0,6.375,60.0,Arepa Dominicana,6
4.36,0.0,28.18,1.295,77.0,222.0,0.0,16.0,151.73,5.661999999999999,0.0,Armadillo,6
1.4242857142857144,11.77,2.8514285714285714,0.3867142857142857,0.8571428571428571,161.14285714285714,5.614285714285714,21.0,69.05,4.186,5.714285714285714,Artichoke,6
33.12,5.47,3.65,8.274,39.0,601.0,0.9,101.0,364.04,7.131666666666666,62.0,Artichoke dip,6
4.405,16.91,4.075,1.0595,2.5,291.5,4.7,52.5,122.0,4.590285714285715,13.0,Artichokes,6
5.4,9.42,11.53,0.947,27.0,174.0,2.0,43.0,112.33,5.000523809523809,112.0,Asian chicken or turkey garden salad,6
5.27,7.91,10.36,0.8,24.0,165.0,1.9,46.0,109.8,4.8646666666666665,132.0,Asian chicken or turkey garden salad with crispy noodles,6
1.5499999999999998,9.69,2.115,0.426,1.0,139.0,2.9,37.5,69.16,4.292,234.0,Asian stir fry vegetables,4
2.2207142857142856,2.9535714285714287,2.406428571428571,0.6165714285714285,1.4285714285714286,164.85714285714286,1.8357142857142856,20.5,53.01,5.146,46.785714285714285,Asparagus,6
2.306666666666666,5.913333333333334,2.03,0.7996666666666666,4.666666666666667,350.6666666666667,0.2,53.66666666666666,52.64,4.95,32.333333333333336,Asparagus soup,1
14.66,8.53,2.0,2.126,0.0,7.0,6.7,12.0,201.12,5.0183333333333335,7.0,Avocado,2
43.33,7.36,1.9,5.978,40.0,867.0,0.1,34.0,459.38,8.29,10.0,Avocado dressing,6
21.6,64.8,5.4,12.1,0.0,230.0,2.0,47.0,456.51,6.760178571428571,0.0,Baby Ruth,7
0.08,16.11,0.08,0.006,0.0,77.0,0.0,2.0,68.6,5.597,0.0,Bacardi cocktail,7
22.268571428571427,10.481428571428571,20.57714285714286,7.456285714285714,65.14285714285714,1076.0,0.6285714285714287,71.28571428571429,350.1,7.13,18.0,Bacon,6
17.02,26.13,13.7,7.411,43.0,923.0,1.0,718.0,309.0,6.439000000000001,123.0,Bacon and cheese sandwich,5
12.79,21.23,13.42,3.531,171.0,514.0,1.0,114.0,217.0,6.071000000000001,70.0,Bacon and egg sandwich,6
35.0,2.0,1.8,5.435,4.0,905.0,0.2,4.0,408.1,8.045,11.0,Bacon and tomato dressing,6
25.9,28.6,32.0,4.055,0.0,1770.0,10.2,101.0,412.7,6.564,0.0,Bacon bits,1
20.99,37.56,10.52,11.824,14.0,1069.0,2.2,62.0,413.5,7.6,17.0,Bacon on biscuit,6
35.09,1.7,33.92,11.964,99.0,1684.0,0.0,11.0,498.2,7.77,11.0,Bacon or side pork,1
18.0,30.38,17.48,5.211,36.0,902.0,1.4,132.0,334.4,6.562666666666667,5.0,Bacon sandwich,6
2.93,3.63,1.21,0.861,4.0,358.0,0.0,9.0,71.85,5.27,22.0,Bacon soup,1
29.52,5.31,11.69,4.622,0.0,1465.0,2.6,23.0,447.4,7.55,4.0,Bacon strip,1
1.5264285714285717,50.33285714285714,9.957857142857142,0.0841428571428571,0.0,417.1428571428572,3.614285714285714,102.5,251.9,4.733333333333333,0.0,Bagel,6
15.14,66.36,12.34,6.835,0.0,233.0,4.1,24.0,442.4,6.623999999999999,0.0,Bagel chips,7
0.5533333333333333,21.02,4.68,0.1346666666666666,2.333333333333333,334.6666666666667,4.666666666666667,41.0,120.2,4.285,3.6666666666666665,Baked beans,6
1.35,23.29,4.38,0.29,7.0,491.0,4.3,38.0,120.8,4.684000000000001,1.0,Baked beans from fast food / restaurant,1
27.23,38.58,5.62,12.569,47.0,354.0,2.1,27.0,417.5,6.48,150.0,Baklava,7
2.93,3.13,1.68,0.812,2.0,16.0,1.4,8.0,93.82857142857144,4.4995,12.0,Bamboo shoots,2
1.77,27.55,1.14,1.0065,4.0,2.5,2.7,9.0,133.32,5.516166666666667,15.0,Banana,2
0.2,16.3,0.3,0.058,0.0,7.0,1.0,3.0,65.6,3.8436666666666666,2.0,Banana apple dessert,2
33.6,58.4,2.3,28.97,0.0,6.0,7.7,18.0,440.6,5.8580000000000005,4.0,Banana chips,2
0.8,17.54,2.5,0.517,3.0,37.0,0.4,79.0,109.2,5.134,6.0,Banana juice with lowfat yogurt,9
0.15,17.95,0.38,0.039,0.0,2.0,0.9,4.0,70.9,4.986000000000001,1.0,Banana nectar,2
2.515,21.04,1.84,0.736,32.0,91.5,0.8500000000000001,26.5,129.0,5.005999999999999,10.0,Banana pudding,7
6.9,32.53,2.53,4.121,24.0,98.0,1.3,74.0,225.7,6.259,68.0,Banana split,7
0.36,21.31,1.01,0.081,0.0,0.0,1.0,0.0,82.78,5.16,3.0,Banana with mixed berries,2
0.52,17.35,1.1,0.37,1.0,14.0,0.5,30.0,90.2,4.888,3.0,Banana yogurt dessert,2
0.1833333333333333,18.563333333333333,0.6,0.0679999999999999,0.0,0.6666666666666666,1.6000000000000003,6.0,79.9,3.974,1.3333333333333333,Bananas,2
0.05,18.1,0.2,0.018,0.0,0.0,1.6000000000000003,7.0,70.7,4.924166666666667,2.333333333333333,Bananas and pineapple,2
0.37,25.78,0.71,0.121,0.0,1.0,1.4,0.0,106.8,4.457,3.0,Bananas and strawberry,2
0.22,19.31,0.9,0.106,0.0,2.0,1.4,5.0,80.5,4.784,3.0,Bananas with apples and pears,2
0.0,20.41,1.06,0.0,0.0,10.0,2.1,0.0,86.4,3.752999999999999,28.0,Bananas with orange,2
0.63,40.77,0.82,0.045,0.0,1027.0,0.9,33.0,173.3,6.055,11.0,Barbecue sauce,1
11.34,40.46,5.41,6.115,35.0,71.0,0.4,148.0,290.0,6.394333333333334,96.0,Barfi or Burfi,9
1.2,27.80333333333333,2.2333333333333334,0.4603333333333333,1.3333333333333333,192.0,3.766666666666667,11.0,134.0,4.704000000000001,7.666666666666667,Barley,6
6.6,69.4,13.2,0.894,0.0,33.0,6.6,643.0,337.5,3.899000000000001,0.0,Barley cereal,0
1.265,9.905,1.915,0.2435,2.0,150.5,0.9,12.0,62.07,4.9013333333333335,7.0,Barley soup,6
12.295714285714284,5.1085714285714285,23.25,3.048142857142857,57.0,409.1428571428572,0.2571428571428571,39.142857142857146,213.1,4.698,22.142857142857142,Barracuda,6
8.46,44.07,4.15,2.361,3.0,83.0,0.5,113.0,274.25,5.566999999999999,13.0,Basbousa,2
0.64,2.65,3.15,0.041,0.0,4.0,1.6,177.0,49.47,4.382999999999999,264.0,Basil,4
1.5599999999999998,11.04,5.493333333333333,0.5206666666666667,5.666666666666667,284.6666666666667,2.566666666666667,27.0,111.11,4.855507936507936,51.333333333333336,Bean and ham soup,6
21.26,49.58,5.63,2.906,0.0,186.0,3.0,13.0,423.26,5.255999999999999,0.0,Bean cake,7
21.6,53.18,14.4,2.872,0.0,408.0,10.1,36.0,426.46,3.895999999999999,1.0,Bean chips,7
3.7,15.89,5.44,0.529,0.0,443.0,4.9,26.0,130.8,5.000833333333333,0.0,Bean dip,1
0.47,49.98,6.22,0.052,0.0,124.0,5.3,21.0,239.2,3.669999999999999,0.0,Bean paste,7
5.0,12.98,3.53,0.712,0.0,266.0,3.5,27.0,117.33,4.113333333333332,5.0,Bean salad,6
1.5475,10.25,4.4350000000000005,0.4185,3.0,264.5,2.65,35.25,89.96,4.960999999999999,20.5,Bean soup,6
